PEX10	1	2403964	2413797
PEX14	1	10472288	10630758
PLCH2	1	2425980	2505532
SPSB1	1	9292894	9369532
SLC2A5	1	9035106	9088478
NMNAT1	1	9943428	9985501
DISP3	1	11479155	11537551
MMEL1	1	2590639	2633016
TMEM51	1	15152532	15220478
RER1	1	2391775	2405442
PANK4	1	2508537	2526597
VPS13D	1	12230030	12512047
RBP7	1	9997206	10016021
GPR157	1	9100305	9129102
ZBTB40	1	22428838	22531157
NPHP4	1	5862811	5992473
HES5	1	2528745	2530263
PHACTR4	1	28369582	28500364
SLC9A1	1	27098809	27166981
PAFAH2	1	25959767	25998117
AJAP1	1	4654609	4792534
PTAFR	1	28147166	28193936
SLC25A33	1	9539465	9585173
KAZN	1	13892792	15118043
TNFRSF1B	1	12166991	12209228
UBE4B	1	10032832	10181239
TMEM51-AS1	1	15111815	15153618
PLA2G5	1	20028179	20091911
PTPRU	1	29236516	29326813
AGO4	1	35808016	35857890
ZBTB8B	1	32465072	32496686
CASZ1	1	10636604	10796650
DNALI1	1	37556919	37566857
RRAGC	1	38838198	38859772
GRIK3	1	36795527	37034515
PLA2G2D	1	20111939	20119566
GUCA2B	1	42153410	42155820
RCC2	1	17406760	17439677
PSMB2	1	35599541	35641526
PADI4	1	17308195	17364004
RHBDL2	1	38885807	38941830
ZMYM4	1	35268709	35422058
C1orf216	1	35713877	35718894
ACTL8	1	17755333	17827063
RLF	1	40161387	40240921
CLSPN	1	35720218	35769978
GNL2	1	37566816	37595937
GJA4	1	34792999	34795747
MORN1	1	2321253	2391707
TTC22	1	54779712	54801323
MYCBP	1	38862493	38873368
DLGAP3	1	34865436	34929650
RIMS3	1	40620680	40665682
SMIM12	1	34712737	34859755
FAM151A	1	54609181	54623556
OSBPL9	1	51577179	51798427
PARS2	1	54756898	54764523
ZYG11B	1	52726453	52827336
TTC4	1	54715861	54742657
PLPP3	1	56494761	56645301
SNIP1	1	37534449	37554293
CPT2	1	53196792	53214197
FOXJ3	1	42176539	42335877
TUT4	1	52408282	52553487
MAGOH	1	53226900	53238518
CDKN2C	1	50960745	50974634
ZSWIM5	1	45016399	45306209
OMA1	1	58415384	58546802
SLC35D1	1	66999350	67054148
LRP8	1	53242364	53328469
TCEANC2	1	54053584	54112519
USP1	1	62436297	62451804
AK5	1	77282019	77559966
GIPC2	1	77979542	78138444
DNAJC6	1	65248219	65415871
AK4	1	65147549	65232145
LEPROT	1	65420587	65436007
CACHD1	1	64470129	64693058
MCOLN2	1	84925583	84997113
ST6GALNAC5	1	76867480	77067546
ATG4C	1	62784132	62865516
ADGRL4	1	78889764	79282124
TTLL7	1	83865024	83999150
ZNHIT6	1	85649417	85708433
MROH7	1	54641754	54710266
PTGFR	1	78303884	78540701
LMO4	1	87328880	87348923
PRPF38A	1	52404602	52420836
PIGK	1	77088989	77219430
DOCK7	1	62454298	62688386
NEGR1	1	71395943	72282539
SHISAL2A	1	52633168	52669683
DNTTIP2	1	93866284	93879918
COL24A1	1	85729233	86156943
GPX7	1	52602371	52609051
SLC44A3	1	94820342	94895246
PKN2	1	88684222	88836255
ABCD3	1	94418389	94518666
DMRTA2	1	50417550	50423443
HIVEP3	1	41506365	42035925
BCAR3	1	93561741	93847150
CNN3	1	94896949	94927223
VAV3	1	107571161	107965180
LRRC8D	1	89821014	89936611
S1PR1	1	101236865	101243713
ARHGAP29	1	94148988	94275068
IGSF21	1	18107798	18378483
COA7	1	52684449	52698347
OLFML3	1	113979391	114035572
GCLM	1	93885199	93909456
TGFBR3	1	91680343	91906335
PHTF1	1	113696831	113759489
F3	1	94529173	94541759
MAN1A2	1	117367449	117528872
LPAR3	1	84811602	84893206
CTTNBP2NL	1	112396214	112463456
TSPAN2	1	115048011	115089503
SLC35A3	1	99969351	100035634
AGL	1	99850361	99924023
RNPC3	1	103525691	103555239
SNX7	1	98661701	98760500
SEC22B	1	120150898	120176520
